"month","day","carrier","origin","orstate","dest","deststate","depart","delay","duration","distance"
"7","5","B6","DCA","VA","SJU","PR",477,0,198,1554
"5","4","AA","DCA","VA","LGA","NY",574,0,42,214
"7","7","YX","DCA","VA","RSW","FL",832,0,126,892
"4","1","AA","DCA","VA","BOS","MA",435,0,62,399
"7","3","OH","DCA","VA","STL","MO",837,0,102,719
"8","7","AA","DCA","VA","BOS","MA",1192,0,67,399
"6","5","DL","DCA","VA","ATL","GA",358,0,82,547
"8","3","YX","DCA","VA","CAE","SC",821,0,62,408
"5","7","YX","DCA","VA","HHH","SC",593,0,89,501
"4","7","AA","DCA","VA","MIA","FL",414,0,155,919
"6","4","OH","DCA","VA","DAY","OH",599,0,59,391
"8","1","DL","DCA","VA","DTW","MI",1197,1,62,405
"4","5","OH","DCA","VA","ALB","NY",1297,0,57,318
"7","1","AA","DCA","VA","LGA","NY",601,0,42,214
"6","3","AA","DCA","VA","LAS","NV",532,0,252,2089
"7","5","OH","DCA","VA","PNS","FL",1184,0,117,816
"7","7","DL","DCA","VA","LAX","CA",1019,0,285,2311
"6","3","WN","DCA","VA","MDW","IL",1169,1,99,601
"4","7","WN","DCA","VA","ATL","GA",406,0,79,547
"7","3","YX","DCA","VA","BDL","CT",1326,0,52,313
"8","7","YX","DCA","VA","CHS","SC",1072,1,87,444
"6","2","AA","DCA","VA","DFW","TX",420,0,169,1192
"7","3","DL","DCA","VA","MSP","MN",799,0,136,931
"7","6","DL","DCA","VA","MSP","MN",1152,1,133,931
"8","2","YX","DCA","VA","ATL","GA",1028,1,109,547
"8","6","AA","DCA","VA","MIA","FL",415,1,129,919
"7","6","WN","DCA","VA","TPA","FL",359,0,103,814
"8","3","OH","DCA","VA","MSY","LA",838,0,126,969
"6","6","OH","DCA","VA","MSY","LA",830,0,134,969
"7","5","DL","DCA","VA","MSP","MN",441,0,130,931
"7","6","WN","DCA","VA","DAL","TX",1074,1,158,1184
"6","1","WN","DCA","VA","BNA","TN",622,0,78,562
"7","6","AA","DCA","VA","LAX","CA",1112,0,284,2311
"8","7","YX","DCA","VA","EYW","FL",832,0,146,1023
"6","4","OH","DCA","VA","MSY","LA",877,1,168,969
"6","6","AA","DCA","VA","LAX","CA",523,0,292,2311
"7","7","AA","DCA","VA","BOS","MA",1074,0,61,399
"5","1","DL","DCA","VA","ATL","GA",882,0,78,547
"5","6","WN","DCA","VA","OMA","NE",865,0,151,1012
"8","6","YX","DCA","VA","SYR","NY",1259,0,50,298
"7","5","YX","DCA","VA","DTW","MI",1317,0,68,405
"4","3","OH","DCA","VA","LAN","MI",903,0,74,479
"6","1","YX","DCA","VA","RDU","NC",1277,1,41,227
"5","4","AS","DCA","VA","PDX","OR",1127,0,320,2350
"5","4","AA","DCA","VA","BOS","MA",1283,0,70,399
"8","5","DL","DCA","VA","SLC","UT",1035,1,243,1851
"6","6","AA","DCA","VA","LAS","NV",520,0,255,2089
"7","5","WN","DCA","VA","HOU","TX",1011,1,160,1218
"5","5","AA","DCA","VA","LAX","CA",1116,0,305,2311
"6","1","YX","DCA","VA","PIT","PA",1278,1,37,204
"8","2","DL","DCA","VA","MSP","MN",771,0,135,931
"8","1","DL","DCA","VA","DTW","MI",370,0,66,405
"5","7","YX","DCA","VA","MEM","TN",892,0,103,762
"7","6","OH","DCA","VA","BTV","VT",960,1,80,437
"8","5","WN","DCA","VA","MDW","IL",1171,1,94,601
"5","5","YX","DCA","VA","ROC","NY",1294,0,55,296
"8","6","AA","DCA","VA","CLT","NC",514,0,60,331
"7","5","B6","DCA","VA","BOS","MA",1172,0,83,399
"8","2","OH","DCA","VA","PVD","RI",617,0,57,356
"4","3","OH","DCA","VA","HSV","AL",541,0,86,613
"7","5","OH","DCA","VA","STL","MO",1210,1,108,719
"8","3","UA","DCA","VA","IAH","TX",1181,1,151,1208
"6","3","MQ","DCA","VA","VPS","FL",850,0,110,789
"8","6","YX","DCA","VA","MCI","MO",1198,0,127,949
"6","3","YX","DCA","VA","PHL","PA",1012,0,35,119
"6","5","YX","DCA","VA","BUF","NY",1319,0,48,296
"7","1","OH","DCA","VA","PWM","ME",904,0,68,482
"6","4","WN","DCA","VA","TPA","FL",419,0,109,814
"6","3","AA","DCA","VA","TPA","FL",518,0,113,814
"6","1","OH","DCA","VA","CRW","WV",1367,1,44,249
"4","7","AA","DCA","VA","LGA","NY",1010,0,42,214
"8","7","YX","DCA","VA","JAX","FL",838,0,102,634
